project_id,project_name,sector,state,implementing_agency,planned_start_date,planned_completion_date,actual_start_date,approved_cost,revised_cost,current_status,report_month,physical_progress,planned_progress,financial_progress,expenditure,monthly_expenditure,contractor_status,milestones_completed,milestones_total,milestones_overdue
613795,JAMPALI OC RCE [2.0 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],05/2020,03/2025,,278.64,278.64,Ongoing,August_2025,82,,75.39,210.07,,,,,
613798,AMERA OC RCE [1.0 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],02/2015,03/2026,,335.97,335.97,Ongoing,August_2025,42,,26.26,88.21,,,,,
613799,AMGAON OC RCE [1.0 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],07/2015,03/2026,,316.11,316.11,Ongoing,August_2025,72,,59.66,188.6,,,,,
613800,JAGANNATHPUR OC RCE PROJECT[3,,Chhattisgarh,South Eastern Coalfields Limited [SECL],07/2016,03/2025,,459.49,459.49,Ongoing,August_2025,92,,59.71,274.35,,,,,
613801,MAHAMAYA OCP [1.50 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],05/2018,03/2026,,410.26,410.26,Ongoing,August_2025,38,,44.17,181.23,,,,,
615191,KATKONA RO UG MINE,,Chhattisgarh,South Eastern Coalfields Limited [SECL],01/2023,03/2029,,329.21,329.21,Ongoing,August_2025,2,,18.32,60.3,,,,,
616234,PELMA OC MDO,,Chhattisgarh,South Eastern Coalfields Limited [SECL],10/2022,03/2033,,1725.04,1725.04,Ongoing,August_2025,17,,0.91,15.66,,,,,
617287,KUSMUNDA OC EXPANSION PROJECT 50-75 MTY,,Chhattisgarh,SECL - CIL,11/2024,03/2030,,4516.88,4516.88,Ongoing,August_2025,3,,0.38,16.97,,,,,
617288,MANIKPUR OC EXPANSION PROJECT 7 MTY,,Chhattisgarh,South Eastern Coalfields Limited [SECL],01/2025,03/2029,,382.61,382.61,Ongoing,August_2025,1,,0.22,0.86,,,,,
612838,DIPKA OC,,Gujarat,SECL - CIL,01/2017,03/2025,,7580,7580,Ongoing,August_2025,65,,40.78,3091,,,,,
400018,HURA C OCP,,Jharkhand,ECL - CIL,08/2022,03/2029,,859.41,859.41,Ongoing,August_2025,62,,52.45,450.76,,,,,
400073,KONAR EXPANSION OCP,,Jharkhand,Ministry of Coal,01/2022,03/2032,,799.34,799.34,Ongoing,August_2025,45,,53.05,424.01,,,,,
400074,KARO EXPANSION OCP,,Jharkhand,Ministry of Coal,01/2022,03/2029,,908.47,908.47,Ongoing,August_2025,22,,29.63,269.18,,,,,
400136,SANGHMITRA OC,,Jharkhand,Ministry of Coal,03/2027,03/2032,,2660,2660,Ongoing,August_2025,0,,0.0,0,,,,,
400138,CHANDRAGUPT OCP,,Jharkhand,Ministry of Coal,08/2020,03/2032,,973.5,973.5,Ongoing,August_2025,25,,45.26,440.56,,,,,
400139,KOTRE BASANTPUR PACHMO OCP,,Jharkhand,Ministry of Coal,08/2020,03/2032,,861.06,625.4,Ongoing,August_2025,42,,72.91,455.95,,,,,
400142,Pachwara South Coal Block,,Jharkhand,NLC India Limited [NLCIL],12/2019,09/2028,,2242.9,2242.9,Ongoing,August_2025,74,,52.2,1170.75,,,,,
400150,RPR MAGADH EXP OCP,,Jharkhand,Ministry of Coal,08/2020,03/2028,,7254.37,7254.37,Ongoing,August_2025,38,,21.16,1535.31,,,,,
400151,NORTH URIMARI EXPANSION OCP,,Jharkhand,Ministry of Coal,07/2021,03/2029,,778.8,778.8,Ongoing,August_2025,67,,89.37,695.99,,,,,
400153,EPR ROHINI - KARKETTA OCP,,Jharkhand,Central Coalfields Limited [CCL],01/2021,03/2028,,1020.42,1020.42,Ongoing,August_2025,20,,8.23,83.95,,,,,
400154,EPR PUNDI OCP,,Jharkhand,Ministry of Coal,11/2020,03/2027,,713.35,713.35,Ongoing,August_2025,10,,33.16,236.58,,,,,
400155,EPR ASHOK OC,,Jharkhand,Ministry of Coal,05/2021,03/2028,,2898.28,2898.28,Ongoing,August_2025,22,,6.16,178.51,,,,,
400156,EPR AMRAPALI OCP,,Jharkhand,Ministry of Coal,02/2020,03/2028,,5136.15,5136.15,Ongoing,August_2025,43,,22.48,1154.6,,,,,
400160,RAJRAPPA RCE OCP,,Jharkhand,Ministry of Coal,12/2009,03/2016,,510.85,510.85,Ongoing,August_2025,76,,95.66,488.67,,,,,
400172,CHITRA EAST OC,,Jharkhand,Eastern Coal Fields Limited [ECL],08/2018,03/2026,,513.99,513.99,Ongoing,August_2025,51,,44.56,229.01,,,,,
400352,JHARKHAND-LAIYO OCP,,Jharkhand,Ministry of Coal,08/2020,03/2031,,764.57,764.57,Ongoing,August_2025,29,,19.07,145.81,,,,,
400425,MOONIDIH XV SEAM UG,,Jharkhand,Ministry of Coal,08/2011,03/2019,,1230.27,1230.27,Ongoing,August_2025,81,,50.93,626.63,,,,,
611017,2.5 MTPA PATHERDIH NLW WASHERY,,Jharkhand,Ministry of Coal,04/2016,04/2018,,334.27,334.27,Ongoing,August_2025,48,,42.03,140.51,,,,,
611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,,Jharkhand,Ministry of Coal,01/2023,03/2030,,4011.85,4011.85,Ongoing,August_2025,28,,9.93,398.5,,,,,
613808,MURAIDIH UG PROJECT,,Jharkhand,Ministry of Coal,02/2011,04/2014,,339.87,339.87,Ongoing,August_2025,70,,56.2,191,,,,,
615349,TAPIN SOUTH EXPN,,Jharkhand,Ministry of Coal,11/2020,03/2028,,230.41,230.41,Ongoing,August_2025,20,,9.56,22.02,,,,,
615822,SIRKA OC,,Jharkhand,Ministry of Coal,05/2020,03/2028,,222.82,222.82,Ongoing,August_2025,53,,62.52,139.31,,,,,
615843,TETARIAKHAR OC,,Jharkhand,Ministry of Coal,11/2019,03/2025,,243.52,243.52,Ongoing,August_2025,30,,18.33,44.64,,,,,
616225,CHUPERBHITA SIMLONG OCP MDO 6 MTY,,Jharkhand,Eastern Coal Fields Limited [ECL],12/2023,03/2037,,979.08,979.08,Ongoing,August_2025,0,,0.0,0,,,,,
616236,JARANGDIH EXPN. OCP 1.5 MTY,,Jharkhand,CCL - CIL,02/2020,03/2029,,414.37,414.37,Ongoing,August_2025,33,,20.66,85.6,,,,,
616253,BLOCK E OCP,,Jharkhand,Ministry of Coal,03/2024,03/2029,,5850.83,5850.83,Ongoing,August_2025,3,,0.35,20.32,,,,,
400148,AMADAND OCP[4.0MTY],,Madhya Pradesh,South Eastern Coalfields Limited [SECL],03/2016,03/2021,,869.44,869.44,Ongoing,August_2025,75,,31.45,273.45,,,,,
400152,RAMPUR BATURA OCP [4.0MTY],,Madhya Pradesh,South Eastern Coalfields Limited [SECL],07/2019,03/2026,,1248.93,1248.93,Ongoing,August_2025,44,,39.67,495.4,,,,,
400162,BLOCK B EXPANSION  [3.5 TO 8.0,,Madhya Pradesh,Northern Coalfields Limited [NCL],07/2019,03/2023,,998.71,998.71,Ongoing,August_2025,47,,45.78,457.2,,,,,
400321,NIGAHI EXPANSION [15 TO 25 MTP,,Madhya Pradesh,Northern Coalfields Limited [NCL],11/2020,03/2025,,1729.68,1729.68,Ongoing,August_2025,48,,46.49,804.11,,,,,
613802,KANCHAN OC EXP,,Madhya Pradesh,South Eastern Coalfields Limited [SECL],12/2014,03/2026,,371.04,371.04,Ongoing,August_2025,47,,38.97,144.61,,,,,
613803,JHIRIA WEST OCP [1.5 MTY],,Madhya Pradesh,South Eastern Coalfields Limited [SECL],01/2024,03/2026,,366.94,366.94,Ongoing,August_2025,41,,9.28,34.05,,,,,
613804,RPR TAWA-III UG 0.84 MTY,,Madhya Pradesh,Western Coalfields Limited [WCL],12/2021,03/2027,,314.09,314.09,Ongoing,August_2025,17,,1.84,5.79,,,,,
615185,AMALGAMATED DHANKASA & JAMUNIA,,Madhya Pradesh,Western Coalfields Limited [WCL],09/2022,03/2027,,399.2,399.2,Ongoing,August_2025,66,,22.96,91.67,,,,,
615187,RPR OF VISHNUPURI UG TO OC,,Madhya Pradesh,Western Coalfields Limited [WCL],11/2022,03/2029,,220.62,220.62,Ongoing,August_2025,11,,0.0,0,,,,,
615194,URDHAN EXPANSION OC COST PLUS,,Madhya Pradesh,Western Coalfields Limited [WCL],01/2023,03/2031,,206.88,206.88,Ongoing,August_2025,1,,13.14,27.19,,,,,
615195,SHARDA UG MINE,,Madhya Pradesh,Western Coalfields Limited [WCL],09/2023,03/2028,,166.25,166.25,Ongoing,August_2025,9,,2.38,3.96,,,,,
615206,GANDHIGRAM UG MINE,,Madhya Pradesh,Western Coalfields Limited [WCL],08/2019,03/2026,,414.15,414.15,Ongoing,August_2025,57,,3.23,13.38,,,,,
400033,BHATADI EXPANSION OC,,Maharashtra,Western Coalfields Limited [WCL],05/2022,03/2028,,580.61,580.61,Ongoing,August_2025,26,,12.01,69.73,,,,,
400177,AMALGAMATED YEKONA I & YEKONA,,Maharashtra,Western Coalfields Limited [WCL],08/2015,03/2025,,727.28,727.28,Ongoing,August_2025,80,,73.69,535.96,,,,,
400178,DINESH[MAKARDHOKRA-III] OC,,Maharashtra,Western Coalfields Limited [WCL],02/2020,03/2027,,822.88,822.88,Ongoing,August_2025,35,,75.56,621.73,,,,,
400353,DHUPTALA OC [SASTI UG TO OC ],,Maharashtra,Western Coalfields Limited [WCL],10/2021,03/2028,,711.01,711.01,Ongoing,August_2025,17,,11.34,80.61,,,,,
615184,SAONER UG MINE -1 EXPANSION 1.,,Maharashtra,Western Coalfields Limited [WCL],01/2022,03/2028,,228.64,228.64,Ongoing,August_2025,68,,61.76,141.21,,,,,
615186,SASTI  EXPANSION OPENCAST,,Maharashtra,Western Coalfields Limited [WCL],08/2020,03/2026,,319.04,319.04,Ongoing,August_2025,20,,28.31,90.31,,,,,
615188,NEW MAJRI UG TO OC 3 MTY COST,,Maharashtra,Western Coalfields Limited [WCL],09/2022,03/2027,,402.27,402.27,Ongoing,August_2025,24,,13.78,55.44,,,,,
615189,MAKARDHOKRA EXPN OC 4.9 MTY,,Maharashtra,Western Coalfields Limited [WCL],06/2022,03/2026,,361.87,361.87,Ongoing,August_2025,12,,19.4,70.22,,,,,
615190,SINGHORI DEEP OC MIN 2.0 MTY,,Maharashtra,Western Coalfields Limited [WCL],05/2022,03/2029,,335.75,335.75,Ongoing,August_2025,6,,7.98,26.79,,,,,
615192,GOKUL EXTENSION OC MINE,,Maharashtra,Western Coalfields Limited [WCL],04/2021,03/2026,,309.58,309.58,Ongoing,August_2025,8,,12.94,40.06,,,,,
615199,KOLGAON EXPANSION DEEP OC MINE 0.80 MTY,,Maharashtra,Western Coalfields Limited [WCL],09/2023,03/2027,,198.71,198.71,Ongoing,August_2025,3,,0.36,0.71,,,,,
615330,BALLARPUR NORTH WEST OC MINE,,Maharashtra,Western Coalfields Limited [WCL],12/2022,03/2029,,360.81,360.81,Ongoing,August_2025,4,,0.01,0.02,,,,,
615331,GADEGAON OC 3 MTY,,Maharashtra,Western Coalfields Limited [WCL],10/2023,03/2030,,497.41,497.41,Ongoing,August_2025,0,,0.02,0.08,,,,,
615914,GHONSA EXPANSION DEEP OC MINE,,Maharashtra,Western Coalfields Limited [WCL],03/2021,03/2029,,184.71,184.71,Ongoing,August_2025,6,,6.22,11.48,,,,,
615916,AMLG GAURI PAUNI EXPANSION OC,,Maharashtra,Western Coalfields Limited [WCL],04/2024,03/2030,,1225.21,1225.21,Ongoing,August_2025,1,,6.44,78.87,,,,,
615917,GAURIDEEP/GAURI CENTRAL OCP 7.,,Maharashtra,Western Coalfields Limited [WCL],06/2024,03/2030,,973.07,973.07,Ongoing,August_2025,0,,0.02,0.24,,,,,
615918,RPR OF BHANEGAON OC,,Maharashtra,Western Coalfields Limited [WCL],09/2022,03/2028,,405.2,405.2,Ongoing,August_2025,8,,3.05,12.36,,,,,
615919,N. EXTN. MUNGOLI NIRGUDA D OCP,,Maharashtra,Western Coalfields Limited [WCL],06/2024,03/2030,,1024.91,1024.91,Ongoing,August_2025,0,,16.45,168.59,,,,,
615982,NILJAI EXPANSION DEEP  OCP,,Maharashtra,Western Coalfields Limited [WCL],08/2016,03/2022,,319.75,319.75,Ongoing,August_2025,79,,114.96,367.6,,,,,
616044,UKNI DEEP OC MINE -COST PLUS,,Maharashtra,Western Coalfields Limited [WCL],01/2019,03/2021,,237.06,237.06,Ongoing,August_2025,87,,69.84,165.57,,,,,
616050,AMALGAMATED INDER-KAMPTEE DEEP OC,,Maharashtra,Western Coalfields Limited [WCL],09/2018,03/2024,,235.9,235.9,Ongoing,August_2025,98,,100.52,237.12,,,,,
616223,ADASA UG TO OC MINE,,Maharashtra,Western Coalfields Limited [WCL],11/2018,03/2024,,316,316,Ongoing,August_2025,86,,97.73,308.84,,,,,
616229,AMAL GONDEGAON GHATROHANA EXPN,,Maharashtra,Western Coalfields Limited [WCL],09/2024,03/2030,,668.54,668.54,Ongoing,August_2025,0,,0.18,1.18,,,,,
617233,WAGHODA UG MINE [1.02 MTY],,Maharashtra,Western Coalfields Limited [WCL],01/2025,03/2030,,379.3,379.3,Ongoing,August_2025,0,,0.0,0,,,,,
617278,KOLARPIMPRI EXPANSION OC [2.5 MTY],,Maharashtra,Western Coalfields Limited [WCL],02/2025,03/2030,,630.37,630.37,Ongoing,August_2025,0,,0.0,0,,,,,
400313,Master Plan for Jharia and Raniganj Coalfields,,Multi-States,Bharat Coking Coal Limited [BCCL],Bengal,08/2009,,08/2019,12/2028,Ongoing,August_2025,(2661.73),,,2661.73,,,,,
400369,BINA KAKRI AMALGAMATION EXPANS,,Multi-States,Northern Coalfields Limited [NCL],Uttar Pradesh,08/2020,,03/2024,03/2027,Ongoing,August_2025,(836.42),,,836.42,,,,,
615183,KHADIA EXPANSION [10 TO 16 MTP,,Multi-States,Northern Coalfields Limited [NCL],Uttar Pradesh,06/2021,,03/2025,03/2027,Ongoing,August_2025,(491.67),,,491.67,,,,,
400165,SUBHADRA OCP,,Odisha,Mahanadi Coalfields Limited [MCL],05/2021,04/2032,,1693.81,1693.81,Ongoing,August_2025,42,,78.0,1321.15,,,,,
400166,SIARMAL OCP,,Odisha,Mahanadi Coalfields Limited [MCL],02/2021,03/2029,,5194.95,5194.95,Ongoing,August_2025,55,,66.53,3456.05,,,,,
400183,BALARAM EXPANSION OCP,,Odisha,Mahanadi Coalfields Limited (MCL,08/2020,03/2029,,3504.21,3504.21,Ongoing,August_2025,52,,29.36,1028.92,,,,,
400185,GOPALJI KANIHA OCP [10 TO 30 M,,Odisha,MCL - CIL,04/2022,03/2030,,8416.19,6107.87,Ongoing,August_2025,17,,27.98,1708.88,,,,,
400187,INTEGRATED LAKHANPUR-BELPAHAR-,,Odisha,Mahanadi Coalfields Limited [MCL],05/2018,03/2027,,2434.75,2434.75,Ongoing,August_2025,69,,74.47,1813.26,,,,,
400392,BHARATPUR RE-ORGANIZATION OCP,,Odisha,Mahanadi Coalfields Limited (MCL,11/2018,03/2029,,2838.86,2838.86,Ongoing,August_2025,47,,61.59,1748.41,,,,,
615193,BASUNDHARA WEST EXTENSION OPEN,,Odisha,MCL - CIL,05/2014,03/2019,,479.15,479.15,Ongoing,August_2025,64,,58.65,281.01,,,,,
615857,Naini Coal Mine,,Odisha,Singareni Collieries Company Limited [SCCL],03/2020,03/2026,,494.3,494.3,Ongoing,August_2025,80,,99.4,491.33,,,,,
616226,INTEGRATED KULDA GARJANBAHAL O,,Odisha,Mahanadi Coalfields Limited (MCL,04/2023,03/2033,,3563.5,3563.5,Ongoing,August_2025,4,,15.17,540.62,,,,,
616231,BHUBANESWARI EXPN OCP 50 MTY,,Odisha,MCL - CIL,03/2024,03/2033,,5366.27,5366.27,Ongoing,August_2025,14,,8.67,465.31,,,,,
616232,HINGULA II OC EXPN PH III 15 M,,Odisha,MCL - CIL,11/2022,03/2029,,1561.85,1561.85,Ongoing,August_2025,23,,17.26,269.61,,,,,
616233,BALABHADRA OCP,,Odisha,MCL - CIL,04/2023,03/2030,,978.44,978.44,Ongoing,August_2025,11,,21.6,211.37,,,,,
615818,Jawahar Khani Open Cast Mine,,Telangana,Singareni Collieries Company Limited [SCCL],12/2021,03/2025,,297.88,297.88,Ongoing,August_2025,20,,15.57,46.39,,,,,
615858,Kalyanikhani Opencast Project,,Telangana,Singareni Collieries Company Limited [SCCL],05/2017,03/2026,,384.32,384.32,Ongoing,August_2025,75,,73.33,281.83,,,,,
615859,Kakathiya Khani Opencast - III Project Phase - I,,Telangana,Singareni Collieries Company Limited [SCCL],05/2017,03/2026,,413.84,413.84,Ongoing,August_2025,79,,96.06,397.55,,,,,
615860,Godavarikhani Coal Mine - 5,,Telangana,Singareni Collieries Company Limited [SCCL],05/2019,03/2025,,607.04,607.04,Ongoing,August_2025,71,,30.99,188.15,,,,,
615861,Indaram Opencast Project,,Telangana,Singareni Collieries Company Limited [SCCL],12/2022,03/2025,,424.81,424.81,Ongoing,August_2025,80,,94.78,402.64,,,,,
615862,Goleti Opencast Mine,,Telangana,Singareni Collieries Company Limited [SCCL],08/2021,03/2026,,345.6,345.6,Ongoing,August_2025,20,,21.58,74.59,,,,,
615863,Venkatesh Khani Coal Mine,,Telangana,Singareni Collieries Company Limited [SCCL],06/2020,03/2026,,484.5,484.5,Ongoing,August_2025,95,,95.08,460.67,,,,,
615864,Ramagundam OC-II Extension Project,,Telangana,Singareni Collieries Company Limited [SCCL],06/2015,03/2026,,489.62,489.62,Ongoing,August_2025,77,,82.83,405.54,,,,,
615865,Kakatiyakhani OC - 2 Project,,Telangana,Singareni Collieries Company Limited [SCCL],09/2017,03/2025,,442.42,442.42,Ongoing,August_2025,63,,46.34,205,,,,,
400173,MOHANPUR EXPANSION OC -PHASE II,,West Bengal,Eastern Coal Fields Limited [ECL],11/2020,03/2026,,888.99,888.99,Ongoing,August_2025,30,,10.46,93,,,,,
400180,BONJEMEHARI EXPANSION OCP,,West Bengal,Eastern Coal Fields Limited [ECL],08/2021,03/2026,,570.11,570.11,Ongoing,August_2025,16,,14.37,81.95,,,,,
400181,NAKRAKONDA KUMARDIH- B OCP,,West Bengal,Eastern Coal Fields Limited [ECL],08/2018,03/2029,,502.68,502.67,Ongoing,August_2025,26,,13.45,67.61,,,,,
400182,SIDULI [OC & UG],,West Bengal,ECL - CIL,05/2018,03/2027,,535.18,535.17,Ongoing,August_2025,14,,0.94,5.05,,,,,
400186,TILABONI UG,,West Bengal,Eastern Coal Fields Limited [ECL],03/2023,03/2029,,749.08,749.08,Ongoing,August_2025,10,,6.97,52.18,,,,,
400312,JHANJRA EXPANSION UG,,West Bengal,Eastern Coal Fields Limited [ECL],04/2020,03/2029,,1210.12,1210.12,Ongoing,August_2025,41,,43.6,527.67,,,,,
400315,SONEPUR BAZARI EXPANSION OCP [12 MTY],,West Bengal,Eastern Coal Fields Limited [ECL],07/2021,03/2029,,5365.88,5365.88,Ongoing,August_2025,17,,10.53,565.26,,,,,
611016,2.0 MTPA BHOJUDIH NLW WASHERY,,West Bengal,Ministry of Coal,03/2019,09/2020,,384.57,384.57,Ongoing,August_2025,97,,91.85,353.21,,,,,
612816,ITAPARA OCP,,West Bengal,Eastern Coal Fields Limited [ECL],12/2023,03/2030,,929.1,929.1,Ongoing,August_2025,7,,7.28,67.6,,,,,
613793,SHYAMSUNDARPUR UG INCLUDING SA,,West Bengal,Eastern Coal Fields Limited [ECL],04/2020,03/2026,,483.65,483.65,Ongoing,August_2025,12,,12.21,59.04,,,,,
613794,PARASEA-BELBAID UG PROJECT,,West Bengal,Eastern Coal Fields Limited [ECL],01/2023,03/2028,,389.1,389.1,Ongoing,August_2025,17,,33.78,131.42,,,,,
616230,PARASCOLE JAMBAD OCP,,West Bengal,Eastern Coal Fields Limited [ECL],11/2024,03/2037,,1193.55,1193.55,Ongoing,August_2025,0,,0.79,9.46,,,,,
617299,50 MW Wind Power Project,,Gujarat,NLC India Limited [NLCIL],02/2024,06/2025,,383.84,383.84,Ongoing,August_2025,41,,79.07,303.5,,,,,
400231,NLC Talabira Thermal Power Project,,Odisha,NLC India Limited [NLCIL],01/2024,03/2030,,27212.96,27213,Ongoing,August_2025,1,,7.18,1953.52,,,,,
612819,300 MW SPP part of 510 MW CPSU scheme,,Rajasthan,NLC India Limited [NLCIL],03/2023,09/2024,,1813,1813,Ongoing,August_2025,70,,48.22,874.14,,,,,
